diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D85,123,16,128,0,P15,C,P192,B
D29,121,21,122,0,P267,B,P193,B
D120,121,2,121,0,P356,B,P200,B
D132,121,4,113,0,P14,D,P215,B
D98,121,5,124,0,P243,A,P216,B
D240,120,10,130,0,P257,A,P220,B
D241,118,6,118,0,P193,B,P230,B
D212,116,19,128,0,P6,A,P232,B
D5,116,15,126,0,P299,A,P233,B
D64,115,16,122,0,P207,C,P237,B
D12,113,5,126,0,P226,C,P239,B
D13,113,13,120,0,P319,D,P242,B
D208,112,4,114,0,P94,B,P244,B
D235,112,6,104,0,P176,A,P246,B
D27,111,14,120,0,P310,B,P253,B
D53,111,6,112,0,P286,B,P254,B
D154,109,0,117,0,P124,A,P255,B
D65,107,15,125,0,P214,C,P259,B
D166,107,5,107,0,P26,C,P260,B
D193,106,11,117,0,P314,A,P262,B
D200,106,4,103,0,P204,A,P263,B
D121,106,20,125,0,P335,A,P265,B
D9,102,12,130,0,P211,A,P267,B
D109,99,1,105,0,P246,B,P268,B
D56,99,1,117,0,P28,D,P276,B
D135,98,23,121,0,P93,C,P284,B
D159,98,11,120,0,P222,C,P286,B
D48,97,13,116,0,P166,A,P296,B
D130,94,24,122,0,P317,C,P297,B
D118,88,4,111,0,P96,B,P301,B
D145,85,13,134,0,P156,C,P308,B
D50,82,14,132,0,P2,D,P310,B
D211,81,18,129,0,P302,D,P311,B
D238,80,23,144,0,P231,A,P0,*
D213,80,3,111,0,P165,B,P313,B
D112,78,22,126,0,P1,A,P323,B
D158,78,13,131,0,P138,D,P330,B
D144,76,0,113,0,P184,C,P331,B
D97,72,13,121,0,P160,B,P332,B
D84,72,8,129,0,P202,D,P337,B
D129,72,12,128,0,P66,D,P340,B
D236,70,5,108,0,P227,D,P345,B
D223,69,22,128,0,P150,B,P347,B
D162,68,14,121,0,P126,A,P355,B
D10,65,0,103,0,P241,C,P356,B
D224,61,21,118,0,P140,D,P372,B
D146,60,14,130,0,P116,A,P373,B
D153,60,2,114,0,P187,C,P188,C
D184,59,18,138,0,P35,B,P7,C
D201,58,19,126,0,P270,D,P11,C
D227,58,0,103,0,P215,B,P13,C
D189,55,23,140,0,P137,D,P15,C
D173,55,6,103,0,P205,A,P19,C
D177,55,19,119,0,P365,A,P26,C
D41,54,11,128,0,P326,A,P31,C
D182,54,20,117,0,P203,A,P32,C
D203,53,17,137,0,P16,B,P38,C
D243,52,11,122,0,P90,C,P41,C
D207,51,1,100,0,P344,A,P46,C
D66,50,13,133,0,P237,B,P56,C
D104,49,0,105,0,P331,B,P59,C
D164,49,2,116,0,P272,D,P62,C
D215,48,21,120,0,P158,D,P64,C
D26,47,0,116,0,P58,D,P68,C
D149,46,23,127,0,P104,A,P85,C
D74,45,23,137,0,P220,B,P87,C
D77,44,18,129,0,P86,D,P90,C
D142,43,4,119,0,P122,C,P93,C
D17,42,13,126,0,P24,B,P106,C
D22,42,16,134,0,P181,B,P112,C
D2,42,14,116,0,P62,C,P117,C
D250,42,7,114,0,P336,A,P122,C
D205,39,20,124,0,P338,A,P125,C
D131,39,18,133,0,P121,B,P136,C
D33,38,13,128,0,P71,B,P141,C
D117,36,6,121,0,P4,B,P143,C
D126,35,16,116,0,P185,D,P156,C
D43,35,21,128,0,P191,A,P161,C
D34,33,12,130,0,P8,B,P164,C
D75,32,6,127,0,P172,D,P179,C
D110,32,16,133,0,P155,D,P184,C
D230,31,15,131,0,P321,A,P186,C
D31,30,13,121,0,P247,C,P187,C
D106,26,11,120,0,P292,A,P196,C
D206,25,12,128,0,P200,B,P197,C
D114,24,16,120,0,P25,A,P207,C
D210,23,16,118,0,P167,B,P208,C
D248,21,21,132,0,P79,D,P209,C
D59,20,2,107,0,P109,B,P212,C
D150,19,15,131,0,P194,A,P214,C
D202,18,21,131,0,P29,A,P217,C
D179,17,15,120,0,P39,B,P222,C
D246,15,2,110,0,P3,A,P226,C
D168,15,1,116,0,P128,D,P234,C
D163,14,4,120,0,P251,C,P236,C
D61,13,21,130,0,P37,D,P238,C
D125,12,4,108,0,P188,C,P241,C
D225,11,23,128,0,P371,D,P247,C
D239,8,21,137,0,P328,A,P248,C
D155,8,21,141,0,P230,B,P251,C
D167,5,17,126,0,P19,C,P252,C
D21,1,15,135,0,P82,B,P256,C
D169,1,20,129,0,P373,B,P261,C
D234,1,14,123,0,P301,B,P269,C
