diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D391,251,14,130,0,P380,A,P380,A
D59,250,0,107,0,P576,A,P576,A
D330,249,0,112,0,P117,D,P161,A
D227,249,6,112,0,P597,D,P162,A
D83,249,3,112,0,P573,C,P175,A
D53,249,18,136,0,P250,C,P177,A
D370,248,17,120,0,P671,A,P671,A
D2,248,21,120,0,P535,A,P535,A
D37,247,5,118,0,P72,B,P179,A
D14,247,15,134,0,P627,A,P627,A
D402,245,5,116,0,P93,A,P93,A
D354,243,7,117,0,P456,A,P456,A
D26,243,1,111,0,P652,A,P652,A
D269,242,18,135,0,P209,C,P188,A
D341,242,18,132,0,P178,D,P263,A
D64,240,17,129,0,P400,A,P400,A
D328,239,24,131,0,P509,C,P194,A
D255,239,11,119,0,P192,D,P199,A
D152,239,5,117,0,P80,B,P200,A
D316,238,6,113,0,P279,B,P213,A
D39,235,10,130,0,P514,A,P514,A
D398,235,21,130,0,P502,A,P502,A
D145,234,21,118,0,P24,B,P220,A
D200,233,9,118,0,P443,B,P224,A
D202,232,7,115,0,P105,A,P105,A
D426,231,18,131,0,P606,C,P314,A
D245,231,20,125,0,P265,B,P232,A
D431,230,4,117,0,P394,C,P237,A
D51,230,16,114,0,P172,C,P239,A
D409,230,21,137,0,P527,B,P241,A
D311,229,2,115,0,P541,D,P639,A
D191,229,1,103,0,P69,C,P260,A
D246,229,19,127,0,P492,C,P261,A
D63,226,11,114,0,P191,A,P191,A
D89,225,15,119,0,P167,C,P264,A
D34,225,0,0,29,P0,*,P266,A
D363,225,7,112,0,P56,D,P272,A
D216,225,19,131,0,P395,D,P280,A
D247,224,3,100,0,P658,A,P658,A
D38,223,17,131,0,P547,D,P282,A
D235,223,0,111,0,P86,C,P448,A
D382,222,19,128,0,P524,B,P285,A
D403,222,20,118,0,P195,C,P286,A
D19,221,18,137,0,P470,A,P470,A
D305,221,22,128,0,P614,B,P290,A
D405,221,16,130,0,P340,A,P340,A
D448,220,22,126,0,P589,B,P294,A
D233,220,13,132,0,P43,D,P296,A
D217,219,8,121,0,P122,A,P122,A
D23,219,11,128,0,P484,D,P305,A
D113,218,5,124,0,P520,A,P520,A
D103,217,4,108,0,P557,D,P306,A
D11,216,0,114,0,P504,D,P310,A
D392,216,6,105,0,P621,A,P621,A
D142,215,14,113,0,P618,D,P312,A
D166,214,10,118,0,P229,A,P229,A
D184,214,12,127,0,P508,D,P315,A
D237,213,15,128,0,P641,A,P641,A
D174,210,19,123,0,P512,B,P323,A
D344,210,10,117,0,P393,B,P326,A
D355,209,1,108,0,P124,B,P327,A
D193,208,4,123,0,P25,A,P25,A
D334,208,3,119,0,P51,D,P355,A
D427,207,2,109,0,P365,C,P360,A
D131,207,10,112,0,P308,D,P366,A
D324,207,8,126,0,P68,D,P370,A
D214,206,10,125,0,P544,D,P375,A
D125,206,17,117,0,P30,D,P430,A
D21,204,0,97,0,P523,B,P385,A
D188,204,16,114,0,P221,B,P389,A
D93,203,12,133,0,P36,C,P390,A
D95,198,11,119,0,P84,C,P396,A
D90,197,8,109,0,P47,A,P47,A
D450,196,1,110,0,P585,C,P401,A
D449,196,16,121,0,P466,D,P403,A
D79,196,15,128,0,P503,A,P503,A
D432,195,11,114,0,P463,C,P411,A
D1,193,22,127,0,P452,C,P421,A
D301,190,7,110,0,P379,A,P379,A
D423,190,11,130,0,P406,D,P433,A
D286,190,6,123,0,P317,C,P436,A
D251,189,18,125,0,P489,D,P445,A
D264,188,21,135,0,P575,B,P446,A
D56,188,16,133,0,P284,A,P284,A
D222,188,3,102,0,P13,B,P450,A
D333,187,23,137,0,P545,C,P459,A
D155,186,13,133,0,P357,D,P464,A
D160,185,8,114,0,P64,D,P467,A
D106,185,15,114,0,P615,B,P478,A
D394,184,3,102,0,P97,A,P97,A
D36,183,2,113,0,P345,C,P499,A
D385,183,9,111,0,P138,A,P138,A
D446,182,2,121,0,P31,D,P532,A
D68,182,16,134,0,P240,C,P533,A
D149,181,16,126,0,P76,C,P534,A
D387,181,12,120,0,P569,B,P539,A
D259,181,13,113,0,P28,B,P543,A
D299,180,0,104,0,P458,D,P556,A
D146,178,0,100,0,P648,C,P559,A
D303,178,7,116,0,P184,B,P570,A
D228,178,20,129,0,P227,A,P227,A
D277,178,16,113,0,P555,D,P584,A
D347,178,13,133,0,P169,B,P587,A
D165,178,16,115,0,P55,C,P594,A
D213,176,21,137,0,P21,D,P619,A
D381,176,16,118,0,P581,B,P624,A
D212,176,8,107,0,P204,B,P630,A
D7,175,23,122,0,P235,C,P635,A
D96,175,0,99,0,P441,B,P638,A
D60,174,11,122,0,P244,A,P244,A
D25,174,7,112,0,P402,B,P644,A
D413,173,13,124,0,P132,B,P650,A
D348,173,3,103,0,P501,C,P653,A
D98,173,7,113,0,P329,C,P660,A
D337,173,22,129,0,P522,C,P669,A
D376,171,16,122,0,P495,D,P674,A
D447,170,6,108,0,P554,D,P184,B
D312,170,3,118,0,P271,B,P5,B
D241,170,17,123,0,P143,C,P11,B
D10,169,13,121,0,P91,A,P13,B
D82,168,13,130,0,P543,A,P15,B
D280,167,6,106,0,P442,D,P19,B
D261,166,15,120,0,P38,A,P22,B
D272,166,4,114,0,P18,A,P24,B
D223,165,17,114,0,P149,A,P26,B
D43,165,18,133,0,P251,B,P28,B
D91,164,13,114,0,P311,B,P33,B
D124,164,11,115,0,P301,B,P44,B
D410,164,16,127,0,P366,A,P45,B
D389,162,2,122,0,P109,A,P63,B
D254,162,3,116,0,P653,A,P70,B
D139,161,7,120,0,P75,C,P72,B
D326,160,11,110,0,P267,D,P78,B
D319,159,11,122,0,P230,D,P79,B
D92,158,18,123,0,P62,C,P80,B
D412,157,18,139,0,P280,A,P81,B
D5,156,11,131,0,P286,A,P100,B
D41,156,0,111,0,P603,C,P107,B
D373,155,18,126,0,P87,D,P114,B
D225,154,2,118,0,P425,C,P121,B
D292,153,10,107,0,P600,B,P124,B
D136,151,2,119,0,P448,A,P128,B
D359,151,13,121,0,P636,C,P130,B
D195,151,9,106,0,P222,B,P131,B
D291,149,17,117,0,P497,C,P132,B
D320,149,15,136,0,P213,A,P136,B
D15,146,9,114,0,P341,C,P137,B
D400,145,9,114,0,P525,C,P139,B
D435,144,0,103,0,P664,D,P144,B
D132,144,5,109,0,P99,C,P147,B
D367,144,16,121,0,P264,A,P155,B
D196,144,8,128,0,P423,B,P158,B
D33,144,5,123,0,P639,A,P164,B
D260,144,19,117,0,P429,B,P169,B
D80,142,1,117,0,P241,A,P170,B
D3,142,22,130,0,P472,D,P173,B
D168,141,13,118,0,P513,D,P186,B
D268,141,24,126,0,P206,C,P189,B
D308,141,24,142,0,P288,C,P197,B
D176,140,10,127,0,P232,A,P203,B
D306,140,5,126,0,P216,D,P204,B
D407,139,21,142,0,P662,C,P205,B
D417,139,24,136,0,P305,A,P207,B
D271,139,12,116,0,P496,C,P210,B
D157,137,11,114,0,P321,D,P214,B
D186,137,17,130,0,P361,D,P221,B
D274,137,23,139,0,P602,C,P222,B
D138,137,23,143,0,P71,C,P226,B
D287,135,13,126,0,P399,B,P228,B
D140,135,15,114,0,P242,B,P238,B
D249,134,2,114,0,P208,C,P242,B
D111,134,16,127,0,P628,D,P251,B
D397,134,3,113,0,P5,B,P254,B
D144,133,24,127,0,P518,C,P256,B
D429,133,4,115,0,P104,C,P257,B
D250,132,2,108,0,P610,C,P258,B
D121,132,13,126,0,P407,D,P259,B
D183,130,0,121,0,P363,C,P262,B
D156,130,11,130,0,P376,B,P265,B
D242,130,0,112,0,P135,A,P268,B
D46,130,21,133,0,P23,D,P269,B
D164,129,24,134,0,P401,A,P270,B
D283,128,0,111,0,P414,C,P271,B
D349,127,4,103,0,P3,C,P276,B
D206,126,12,125,0,P74,C,P277,B
D22,126,3,101,0,P96,A,P279,B
D192,126,3,124,0,P619,A,P287,B
D295,126,16,135,0,P580,C,P289,B
D161,125,8,120,0,P276,B,P292,B
D296,123,19,126,0,P115,A,P297,B
D215,123,9,127,0,P139,B,P299,B
D4,123,17,136,0,P510,D,P301,B
D437,122,22,140,0,P281,D,P304,B
D178,122,16,124,0,P10,A,P307,B
D31,120,9,119,0,P455,C,P311,B
D248,119,8,123,0,P344,B,P316,B
D229,118,13,116,0,P129,D,P318,B
D197,118,24,132,0,P479,C,P319,B
D430,118,7,115,0,P228,B,P320,B
D327,117,24,129,0,P42,A,P324,B
D158,117,9,118,0,P592,C,P325,B
D58,115,7,127,0,P310,A,P328,B
D204,115,24,130,0,P131,B,P331,B
D353,114,19,127,0,P670,D,P333,B
D126,114,9,118,0,P465,D,P334,B
D442,113,8,117,0,P334,B,P342,B
D100,113,9,106,0,P651,D,P343,B
D315,113,14,115,0,P295,C,P344,B
D130,112,8,119,0,P113,C,P349,B
D298,112,14,114,0,P532,A,P356,B
D231,112,24,140,0,P631,C,P358,B
D414,110,22,143,0,P78,B,P371,B
D445,108,15,116,0,P350,D,P372,B
D141,108,19,119,0,P289,B,P373,B
D438,107,16,124,0,P450,A,P374,B
D419,106,15,113,0,P300,D,P376,B
D16,105,7,118,0,P462,B,P383,B
D340,104,15,119,0,P151,D,P384,B
D257,103,15,127,0,P474,D,P388,B
D162,102,6,120,0,P331,B,P391,B
D428,101,6,106,0,P188,A,P392,B
D172,100,20,136,0,P193,D,P393,B
D243,100,19,116,0,P324,B,P399,B
D219,99,12,113,0,P225,D,P402,B
D232,98,11,117,0,P282,A,P404,B
D294,97,24,145,0,P561,D,P0,*
D163,97,14,119,0,P164,B,P405,B
D20,97,5,115,0,P121,B,P410,B
D317,97,0,121,0,P413,D,P412,B
D339,94,6,108,0,P247,D,P416,B
D263,94,13,115,0,P185,D,P419,B
D208,93,23,136,0,P50,D,P423,B
D218,93,3,120,0,P332,C,P429,B
D361,92,24,139,0,P389,A,P432,B
D422,91,16,118,0,P451,C,P434,B
D297,91,8,117,0,P256,B,P437,B
D236,91,2,108,0,P141,C,P441,B
D424,91,24,144,0,P351,C,P1,D
D48,90,10,114,0,P566,C,P443,B
D120,90,4,109,0,P516,C,P457,B
D281,89,0,109,0,P490,B,P462,B
D99,88,7,112,0,P398,D,P476,B
D8,87,16,113,0,P133,A,P485,B
D322,87,5,109,0,P454,D,P487,B
D420,87,12,125,0,P551,B,P488,B
D332,86,9,130,0,P563,B,P490,B
D88,86,7,105,0,P114,B,P494,B
D290,85,18,138,0,P19,B,P507,B
D396,84,18,122,0,P315,A,P512,B
D440,84,21,129,0,P449,C,P519,B
D71,83,18,124,0,P420,C,P521,B
D27,82,8,105,0,P146,A,P523,B
D49,82,20,130,0,P460,D,P524,B
D84,82,18,134,0,P478,A,P526,B
D185,82,12,118,0,P613,C,P527,B
D386,82,13,116,0,P33,B,P530,B
D252,81,21,119,0,P20,D,P531,B
D128,81,2,116,0,P190,D,P537,B
D416,81,24,142,0,P157,D,P542,B
D175,80,20,141,0,P507,B,P551,B
D97,79,1,122,0,P314,A,P553,B
D270,79,0,107,0,P531,B,P560,B
D284,78,21,120,0,P564,D,P563,B
D61,78,4,124,0,P390,A,P569,B
D76,78,24,130,0,P270,B,P574,B
D209,78,22,123,0,P160,C,P575,B
D77,76,9,116,0,P539,A,P581,B
D234,76,20,139,0,P166,D,P583,B
D173,76,5,108,0,P45,B,P586,B
D314,74,20,124,0,P83,A,P589,B
D342,74,6,114,0,P375,A,P590,B
D123,73,20,123,0,P410,B,P591,B
D258,71,20,127,0,P409,D,P595,B
D86,71,22,138,0,P106,D,P598,B
D411,71,1,110,0,P153,A,P599,B
D199,70,7,124,0,P616,C,P600,B
D24,68,14,117,0,P179,A,P604,B
D181,68,3,100,0,P1,D,P609,B
D187,67,5,108,0,P26,B,P612,B
D309,67,13,110,0,P530,B,P614,B
D393,66,17,138,0,P318,B,P615,B
D338,65,15,122,0,P661,D,P617,B
D425,64,17,128,0,P583,B,P642,B
D406,62,8,117,0,P168,D,P643,B
D159,62,24,132,0,P154,A,P656,B
D371,62,12,123,0,P468,D,P663,B
D304,61,20,129,0,P234,D,P665,B
D384,60,9,127,0,P156,C,P666,B
D13,60,10,125,0,P540,C,P673,B
D226,60,13,115,0,P338,C,P675,B
D62,60,3,106,0,P657,C,P351,C
D307,60,6,119,0,P303,A,P2,C
D101,59,10,111,0,P298,C,P3,C
D190,59,23,137,0,P591,B,P6,C
D182,59,9,130,0,P562,D,P8,C
D150,59,10,121,0,P431,D,P9,C
D67,59,7,125,0,P388,B,P17,C
D118,58,14,123,0,P459,A,P29,C
D119,58,11,130,0,P40,A,P32,C
D415,57,20,125,0,P371,B,P35,C
D240,57,0,104,0,P354,C,P36,C
D375,56,7,108,0,P358,B,P41,C
D383,56,0,112,0,P266,A,P55,C
D318,55,24,125,0,P534,A,P62,C
D211,54,0,114,0,P403,A,P65,C
D378,53,21,135,0,P231,D,P67,C
D47,53,22,129,0,P343,B,P69,C
D85,51,23,138,0,P12,A,P71,C
D18,50,8,110,0,P57,D,P74,C
D345,50,4,111,0,P445,A,P75,C
D285,49,12,116,0,P259,B,P76,C
D377,47,16,113,0,P386,D,P77,C
D262,46,22,138,0,P77,C,P84,C
D94,45,22,128,0,P444,D,P85,C
D300,44,20,121,0,P59,D,P86,C
D151,43,18,115,0,P482,A,P88,C
D115,43,3,104,0,P521,B,P90,C
D421,42,17,116,0,P174,D,P94,C
D171,41,2,100,0,P48,D,P98,C
D40,41,20,131,0,P173,B,P99,C
D87,41,24,130,0,P319,B,P104,C
D54,39,12,117,0,P142,D,P110,C
D439,38,1,110,0,P427,D,P111,C
D325,38,2,122,0,P194,A,P112,C
D331,38,9,110,0,P669,A,P113,C
D50,37,22,142,0,P440,D,P119,C
D147,37,3,119,0,P70,B,P126,C
D313,37,3,115,0,P432,B,P140,C
D170,36,5,125,0,P306,A,P141,C
D372,35,6,108,0,P346,C,P143,C
D266,35,5,114,0,P119,C,P156,C
D75,34,13,128,0,P85,C,P160,C
D395,34,19,138,0,P29,C,P163,C
D180,34,21,129,0,P660,A,P165,C
D323,33,24,138,0,P638,A,P167,C
D65,33,21,132,0,P186,B,P172,C
D230,33,3,107,0,P328,B,P176,C
D52,33,16,124,0,P378,C,P180,C
D169,32,21,138,0,P461,C,P187,C
D35,32,6,113,0,P364,D,P195,C
D127,32,22,120,0,P500,C,P198,C
D167,32,7,122,0,P11,B,P201,C
D224,32,10,125,0,P92,D,P202,C
D70,30,24,124,0,P61,D,P206,C
D81,29,18,137,0,P571,A,P208,C
D256,28,17,124,0,P126,C,P209,C
D205,27,19,126,0,P467,A,P223,C
D366,27,9,111,0,P392,B,P233,C
D436,26,3,115,0,P643,B,P235,C
D179,26,13,113,0,P608,C,P236,C
D390,26,22,124,0,P421,A,P240,C
D17,26,0,119,0,P607,D,P243,C
D388,26,14,122,0,P436,A,P245,C
D352,25,17,124,0,P37,A,P248,C
D351,25,20,130,0,P533,A,P250,C
D293,23,14,135,0,P205,B,P252,C
D239,23,0,98,0,P325,B,P253,C
D244,22,5,122,0,P187,C,P274,C
D78,21,20,129,0,P198,C,P278,C
D220,21,2,110,0,P118,A,P283,C
D360,21,21,120,0,P292,B,P288,C
D265,19,22,136,0,P254,B,P291,C
D350,18,14,120,0,P601,C,P295,C
D343,18,3,119,0,P161,A,P298,C
D116,17,20,136,0,P355,A,P302,C
D117,17,6,112,0,P428,D,P313,C
D433,17,22,123,0,P239,A,P317,C
D273,16,4,122,0,P89,A,P322,C
D289,15,21,138,0,P309,D,P329,C
D408,14,16,115,0,P437,B,P330,C
D379,12,18,131,0,P672,C,P332,C
D221,11,23,134,0,P4,D,P336,C
D362,10,12,128,0,P620,D,P337,C
D129,9,7,122,0,P505,D,P338,C
D365,9,5,106,0,P457,B,P341,C
D112,9,6,115,0,P612,B,P345,C
D380,8,5,103,0,P189,B,P346,C
D134,8,23,143,0,P499,A,P347,C
D105,7,11,118,0,P584,A,P354,C
D55,6,8,124,0,P136,B,P363,C
D321,5,24,133,0,P9,C,P365,C
D356,5,16,113,0,P130,B,P368,C
D444,5,8,105,0,P537,B,P369,C
D302,3,21,125,0,P16,A,P378,C
D122,2,12,133,0,P162,A,P394,C
D108,2,8,118,0,P236,C,P414,C
D329,1,3,109,0,P148,A,P415,C
D12,0,2,121,0,P103,A,P420,C
