diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D183,207,14,131,0,P148,A,P148,A
D29,206,23,122,0,P158,B,P312,A
D90,203,8,126,0,P268,D,P318,A
D303,203,20,122,0,P230,C,P319,A
D175,202,11,131,0,P406,B,P325,A
D206,202,3,123,0,P116,B,P329,A
D62,201,0,111,0,P355,B,P334,A
D17,201,14,132,0,P226,C,P341,A
D348,201,8,120,0,P521,C,P345,A
D129,200,1,106,0,P118,C,P351,A
D74,198,21,142,0,P232,C,P353,A
D154,197,5,113,0,P115,D,P362,A
D190,194,10,117,0,P68,A,P68,A
D48,194,9,118,0,P85,B,P372,A
D166,190,14,121,0,P179,D,P384,A
D280,189,12,109,0,P411,B,P389,A
D3,187,15,123,0,P199,A,P199,A
D167,186,14,121,0,P357,B,P395,A
D315,184,18,139,0,P456,B,P397,A
D226,184,19,129,0,P462,C,P400,A
D252,184,17,127,0,P248,B,P408,A
D164,184,4,105,0,P506,B,P419,A
D79,182,9,127,0,P59,A,P59,A
D187,182,11,110,0,P35,A,P35,A
D321,180,13,116,0,P19,D,P430,A
D284,179,4,112,0,P20,C,P432,A
D228,178,10,118,0,P221,B,P436,A
D299,178,24,126,0,P485,C,P437,A
D331,177,17,115,0,P161,D,P446,A
D296,176,20,117,0,P367,D,P447,A
D9,176,10,110,0,P275,D,P450,A
D148,175,5,119,0,P276,D,P454,A
D327,174,2,120,0,P51,D,P458,A
D231,174,9,124,0,P380,D,P468,A
D123,173,8,114,0,P214,C,P470,A
D313,171,16,136,0,P187,A,P187,A
D235,171,15,121,0,P185,C,P473,A
D67,171,15,121,0,P64,B,P477,A
D31,169,23,124,0,P490,C,P491,A
D103,168,3,110,0,P37,D,P516,A
D115,167,12,129,0,P151,B,P502,A
D39,164,7,126,0,P340,C,P503,A
D84,164,9,129,0,P189,C,P504,A
D94,164,13,111,0,P507,C,P508,A
D169,164,5,120,0,P420,C,P512,A
D23,162,16,115,0,P9,B,P514,A
D95,160,9,116,0,P501,A,P501,A
D232,160,13,121,0,P273,C,P520,A
D215,160,0,107,0,P240,C,P523,A
D318,159,0,120,0,P205,A,P205,A
D326,159,12,109,0,P3,D,P525,A
D34,159,7,111,0,P302,B,P140,B
D51,156,6,124,0,P338,C,P5,B
D333,156,2,102,0,P120,C,P8,B
D112,154,15,131,0,P48,A,P9,B
D308,154,23,139,0,P440,B,P10,B
D237,152,20,123,0,P424,B,P15,B
D216,152,6,105,0,P297,B,P26,B
D275,151,3,117,0,P354,C,P31,B
D193,151,6,123,0,P345,A,P42,B
D168,151,7,110,0,P262,A,P46,B
D69,150,12,111,0,P451,B,P49,B
D312,150,21,141,0,P134,B,P64,B
D157,150,6,125,0,P140,B,P72,B
D117,150,15,120,0,P233,C,P75,B
D158,150,17,132,0,P253,D,P80,B
D92,149,0,119,0,P11,A,P82,B
D220,149,9,113,0,P142,A,P83,B
D52,147,13,118,0,P337,B,P85,B
D161,147,5,106,0,P70,D,P91,B
D185,146,17,129,0,P76,C,P111,B
D153,142,20,138,0,P393,C,P112,B
D33,142,12,114,0,P241,B,P114,B
D2,142,5,108,0,P445,C,P116,B
D196,141,0,115,0,P207,B,P126,B
D243,141,19,128,0,P433,B,P129,B
D285,140,23,136,0,P121,A,P134,B
D44,139,17,134,0,P28,C,P141,B
D258,138,7,128,0,P450,A,P143,B
D82,138,13,111,0,P368,D,P146,B
D14,137,17,134,0,P257,C,P149,B
D13,136,19,122,0,P465,C,P151,B
D249,135,0,120,0,P378,B,P153,B
D281,134,12,110,0,P119,D,P158,B
D184,133,21,131,0,P271,D,P164,B
D269,130,17,137,0,P334,A,P166,B
D106,129,24,122,0,P163,A,P168,B
D223,128,19,125,0,P360,B,P173,B
D70,128,17,122,0,P133,C,P180,B
D204,126,21,118,0,P54,A,P181,B
D86,125,2,122,0,P505,D,P182,B
D302,123,0,106,0,P498,B,P184,B
D18,121,3,104,0,P21,D,P190,B
D96,121,14,133,0,P65,D,P203,B
D37,120,9,122,0,P423,C,P204,B
D146,118,21,118,0,P457,D,P207,B
D214,117,8,121,0,P407,B,P209,B
D222,117,10,109,0,P1,C,P211,B
D213,116,23,138,0,P124,D,P221,B
D212,114,8,116,0,P328,C,P223,B
D290,113,13,132,0,P91,B,P229,B
D266,113,20,131,0,P470,A,P241,B
D6,112,4,113,0,P265,A,P243,B
D72,112,13,114,0,P217,C,P245,B
D41,111,0,104,0,P305,D,P248,B
D255,111,14,117,0,P348,C,P249,B
D5,110,2,102,0,P285,B,P251,B
D261,109,13,128,0,P394,C,P252,B
D227,108,8,115,0,P443,D,P254,B
D59,108,2,113,0,P127,D,P270,B
D304,107,13,127,0,P141,B,P280,B
D152,107,7,120,0,P511,B,P281,B
D323,106,22,136,0,P10,B,P284,B
D276,104,11,111,0,P432,A,P285,B
D272,103,16,115,0,P472,D,P287,B
D60,102,1,115,0,P191,A,P293,B
D173,102,10,118,0,P56,D,P294,B
D199,102,3,123,0,P473,A,P297,B
D111,101,15,129,0,P101,D,P300,B
D241,101,12,114,0,P495,D,P302,B
D253,101,3,112,0,P61,A,P304,B
D50,100,16,119,0,P122,D,P313,B
D317,99,23,120,0,P487,D,P314,B
D57,99,13,111,0,P175,C,P322,B
D107,98,5,111,0,P356,D,P323,B
D219,98,4,107,0,P296,A,P326,B
D176,96,17,121,0,P264,C,P331,B
D179,95,12,131,0,P430,A,P337,B
D89,95,19,126,0,P137,C,P342,B
D47,95,4,121,0,P349,C,P343,B
D250,94,0,111,0,P93,D,P347,B
D126,94,15,128,0,P497,C,P355,B
D65,94,6,105,0,P282,C,P357,B
D24,92,14,132,0,P377,C,P359,B
D101,92,11,122,0,P169,D,P360,B
D224,92,9,124,0,P290,D,P364,B
D257,91,15,124,0,P415,D,P378,B
D283,91,2,109,0,P246,A,P388,B
D132,89,1,100,0,P292,D,P402,B
D171,88,2,113,0,P238,D,P406,B
D125,87,23,132,0,P299,D,P407,B
D156,87,5,115,0,P204,B,P409,B
D322,86,22,125,0,P112,B,P410,B
D334,85,17,138,0,P333,C,P411,B
D88,84,11,119,0,P113,D,P412,B
D68,84,3,106,0,P130,A,P414,B
D128,84,12,119,0,P242,D,P416,B
D35,84,13,134,0,P482,B,P417,B
D239,83,13,111,0,P298,D,P418,B
D137,82,7,120,0,P210,D,P422,B
D98,82,23,135,0,P364,B,P424,B
D344,81,6,106,0,P60,D,P433,B
D238,81,17,120,0,P477,A,P440,B
D251,81,2,99,0,P39,D,P442,B
D138,80,24,121,0,P326,B,P451,B
D306,78,1,116,0,P347,B,P456,B
D240,78,9,109,0,P7,A,P459,B
D330,76,19,116,0,P263,A,P466,B
D328,75,11,116,0,P387,D,P479,B
D143,74,13,117,0,P90,A,P481,B
D186,74,13,121,0,P103,A,P482,B
D198,71,9,122,0,P279,C,P486,B
D210,71,20,117,0,P341,A,P488,B
D21,71,3,111,0,P488,B,P489,B
D265,70,12,110,0,P303,A,P498,B
D102,70,10,116,0,P100,D,P499,B
D25,69,20,139,0,P280,B,P506,B
D177,67,15,134,0,P14,D,P510,B
D4,67,13,111,0,P94,A,P511,B
D56,66,13,116,0,P260,C,P519,B
D42,65,7,105,0,P12,C,P260,C
D36,64,17,137,0,P452,D,P1,C
D311,64,23,127,0,P45,C,P4,C
D80,63,8,118,0,P209,B,P6,C
D180,62,1,105,0,P176,D,P12,C
D45,61,16,127,0,P392,D,P20,C
D236,61,6,110,0,P388,B,P22,C
D85,61,5,118,0,P468,A,P28,C
D83,61,11,132,0,P192,A,P30,C
D262,59,5,103,0,P426,C,P32,C
D324,59,19,136,0,P463,C,P33,C
D244,58,23,133,0,P312,A,P40,C
D263,58,4,110,0,P6,C,P43,C
D12,57,19,117,0,P206,C,P44,C
D256,57,19,118,0,P474,D,P45,C
D294,57,0,115,0,P162,C,P50,C
D32,56,14,130,0,P289,A,P53,C
D71,56,7,105,0,P78,A,P55,C
D136,54,17,132,0,P323,B,P58,C
D246,54,11,115,0,P237,D,P76,C
D338,53,14,130,0,P38,A,P77,C
D340,53,11,131,0,P306,C,P79,C
D234,52,5,112,0,P331,B,P81,C
D298,52,9,115,0,P499,B,P97,C
D195,50,1,102,0,P300,B,P98,C
D225,50,14,134,0,P155,A,P105,C
D264,50,11,108,0,P343,B,P106,C
D140,49,15,118,0,P475,D,P107,C
D81,46,17,130,0,P74,D,P118,C
D114,45,18,124,0,P41,A,P120,C
D1,44,7,108,0,P146,B,P128,C
D55,41,16,133,0,P213,D,P131,C
D15,40,14,131,0,P523,A,P133,C
D188,38,17,136,0,P510,B,P135,C
D247,38,15,120,0,P284,B,P137,C
D191,38,7,104,0,P502,A,P138,C
D297,35,4,125,0,P278,D,P150,C
D66,35,24,125,0,P87,A,P159,C
D87,35,20,118,0,P218,C,P160,C
D301,34,2,121,0,P143,B,P162,C
D248,33,23,144,0,P318,A,P3,D
D307,32,13,111,0,P256,C,P174,C
D63,31,7,112,0,P480,C,P175,C
D77,31,24,122,0,P396,D,P185,C
D122,31,23,123,0,P489,B,P189,C
D316,30,3,118,0,P184,B,P198,C
D165,30,18,122,0,P520,A,P202,C
D203,29,18,129,0,P149,B,P206,C
D162,29,8,122,0,P522,D,P214,C
D172,28,16,128,0,P98,C,P217,C
D295,28,4,109,0,P195,A,P218,C
D200,27,6,122,0,P442,B,P226,C
D254,26,22,139,0,P417,B,P230,C
D124,26,22,130,0,P492,C,P232,C
D131,26,8,118,0,P244,A,P233,C
D119,26,7,124,0,P516,A,P236,C
D291,26,16,135,0,P438,C,P240,C
D78,26,6,122,0,P335,C,P256,C
D197,24,1,118,0,P375,D,P257,C
D310,22,20,118,0,P224,D,P264,C
D30,19,23,121,0,P88,D,P269,C
D309,19,23,140,0,P166,B,P272,C
D145,19,3,100,0,P235,D,P273,C
D141,19,9,126,0,P171,D,P274,C
D160,19,10,113,0,P188,D,P279,C
D202,18,8,109,0,P403,D,P282,C
D339,18,8,115,0,P372,A,P291,C
D54,17,1,105,0,P436,A,P306,C
D139,15,10,118,0,P44,C,P308,C
D133,12,10,130,0,P503,A,P317,C
D245,12,22,142,0,P419,A,P320,C
D287,12,12,121,0,P381,C,P324,C
D319,12,14,122,0,P164,B,P328,C
D127,10,13,115,0,P413,D,P333,C
D178,10,15,119,0,P252,B,P335,C
D335,9,16,120,0,P350,D,P338,C
D192,9,0,109,0,P391,D,P340,C
D314,9,8,120,0,P319,A,P344,C
D118,8,3,120,0,P291,C,P348,C
D341,8,11,127,0,P16,D,P349,C
D336,8,21,138,0,P281,B,P354,C
D230,8,12,119,0,P92,A,P358,C
D350,7,5,102,0,P313,B,P361,C
D76,6,13,122,0,P379,C,P363,C
D110,6,23,120,0,P509,D,P365,C
D142,5,10,121,0,P110,D,P366,C
D58,4,15,122,0,P198,C,P374,C
D93,4,11,132,0,P15,B,P377,C
D105,3,16,115,0,P108,D,P379,C
D43,1,12,123,0,P46,B,P381,C
