diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D362,242,3,106,0,P449,D,P69,C
D39,241,14,122,0,P661,A,P131,C
D134,238,20,133,0,P446,A,P640,C
D161,238,15,112,0,P42,D,P221,A
D28,238,6,122,0,P103,D,P315,D
D417,237,5,123,0,P638,A,P207,D
D220,237,6,121,0,P492,A,P114,D
D388,236,22,127,0,P234,C,P80,A
D153,235,14,124,0,P108,C,P187,A
D368,235,15,123,0,P265,A,P367,C
D315,235,20,123,0,P223,C,P163,A
D140,234,18,132,0,P342,A,P321,C
D337,232,19,117,0,P589,C,P253,D
D263,231,12,111,0,P549,D,P37,A
D201,230,14,121,0,P628,C,P195,A
D227,229,24,127,0,P19,B,P233,A
D275,228,22,143,0,P277,B,P166,A
D302,228,4,125,0,P388,B,P179,D
D367,227,9,124,0,P128,B,P153,A
D36,227,9,111,0,P515,C,P152,A
D56,226,23,143,0,P63,B,P359,D
D424,226,24,136,0,P220,C,P27,A
D189,226,0,106,0,P574,A,P42,D
D184,225,1,101,0,P298,B,P13,C
D79,225,13,126,0,P397,D,P121,A
D287,225,2,100,0,P313,B,P116,D
D253,224,19,132,0,P337,D,P125,C
D428,222,6,112,0,P137,B,P103,D
D326,222,11,132,0,P651,A,P52,C
D110,221,16,128,0,P639,C,P614,D
D323,221,4,121,0,P566,D,P67,A
D206,221,2,120,0,P625,C,P564,C
D86,220,4,123,0,P519,A,P529,C
D72,220,17,128,0,P635,A,P270,D
D299,219,20,122,0,P422,B,P536,C
D138,219,0,120,0,P124,C,P287,C
D308,218,24,145,0,P86,C,P3,B
D66,218,15,119,0,P663,A,P9,C
D360,217,7,119,0,P631,B,P562,D
D116,215,1,118,0,P470,D,P291,C
D399,214,10,131,0,P516,B,P302,C
D320,212,18,138,0,P149,B,P332,C
D22,212,18,118,0,P498,D,P447,C
D87,212,23,128,0,P557,D,P38,A
D436,211,6,117,0,P110,C,P568,C
D421,210,3,122,0,P230,B,P269,A
D207,210,14,111,0,P140,D,P263,C
D158,208,16,125,0,P62,A,P217,D
D440,207,3,109,0,P343,A,P59,C
D33,207,20,128,0,P514,D,P339,C
D352,206,10,124,0,P117,B,P261,A
D318,206,15,114,0,P202,C,P14,D
D391,205,16,124,0,P246,B,P637,D
D18,203,15,113,0,P674,C,P560,C
D321,202,7,108,0,P301,B,P183,C
D361,202,14,120,0,P56,B,P343,A
D324,200,21,138,0,P457,A,P216,D
D124,200,6,122,0,P550,C,P378,C
D97,200,16,126,0,P91,B,P260,D
D89,199,23,126,0,P667,D,P267,A
D119,199,0,119,0,P205,C,P475,C
D7,197,17,128,0,P139,B,P53,D
D400,194,18,119,0,P310,B,P57,D
D231,193,13,126,0,P189,C,P608,D
D415,193,9,111,0,P247,B,P191,C
D215,192,17,117,0,P658,A,P658,A
D304,192,11,131,0,P272,D,P64,C
D332,191,20,124,0,P304,B,P118,C
D44,188,12,117,0,P168,A,P68,C
D75,188,19,129,0,P665,A,P465,D
D194,188,6,106,0,P439,B,P265,A
D383,187,7,104,0,P307,B,P258,C
D396,185,21,125,0,P521,C,P570,C
D327,185,17,130,0,P487,D,P448,D
D160,184,24,144,0,P333,A,P107,B
D306,183,24,126,0,P182,B,P113,D
D338,183,0,119,0,P620,C,P630,C
D432,183,23,120,0,P623,C,P628,C
D16,182,20,119,0,P453,B,P502,D
D346,182,12,130,0,P559,B,P283,A
D41,182,10,119,0,P408,C,P370,D
D81,181,4,110,0,P81,B,P60,D
D52,181,1,106,0,P647,A,P623,C
D31,181,22,128,0,P619,D,P398,D
D438,180,10,111,0,P417,C,P408,C
D65,180,22,122,0,P252,C,P288,A
D284,180,11,129,0,P603,B,P440,D
D125,179,3,108,0,P666,B,P193,A
D182,178,20,130,0,P318,C,P243,D
D49,178,4,116,0,P440,D,P306,A
D30,177,7,110,0,P614,D,P319,A
D290,176,21,137,0,P326,B,P78,A
D57,176,20,123,0,P324,C,P390,D
D244,175,4,110,0,P477,D,P280,C
D316,175,2,104,0,P235,A,P235,A
D38,173,24,121,0,P78,A,P156,D
D439,173,7,117,0,P185,C,P252,C
D162,173,15,117,0,P493,D,P186,A
D377,173,12,124,0,P599,C,P566,D
D113,172,24,131,0,P192,D,P239,C
D203,171,7,104,0,P400,B,P150,D
D131,170,13,122,0,P600,C,P639,C
D277,168,13,113,0,P382,B,P136,C
D238,168,6,116,0,P578,A,P397,D
D427,167,4,109,0,P529,C,P200,A
D339,167,22,137,0,P35,B,P555,C
D343,167,7,121,0,P590,C,P473,C
D183,167,8,113,0,P567,A,P254,C
D83,167,11,124,0,P664,B,P4,C
D159,166,11,115,0,P443,B,P360,A
D319,165,18,137,0,P390,D,P600,C
D330,165,9,111,0,P45,C,P601,D
D78,164,15,122,0,P633,A,P396,C
D115,163,1,108,0,P489,D,P11,A
D26,162,6,122,0,P347,C,P324,C
D193,162,7,106,0,P369,C,P365,D
D380,161,0,121,0,P558,A,P325,D
D84,160,24,142,0,P154,B,P54,D
D300,160,8,126,0,P594,A,P420,D
D249,159,9,129,0,P669,C,P184,A
D420,158,23,136,0,P609,A,P469,D
D280,158,7,116,0,P395,A,P299,C
D104,158,4,109,0,P239,C,P545,C
D20,157,8,119,0,P190,A,P557,D
D6,157,4,121,0,P475,C,P12,A
D216,156,1,121,0,P353,C,P674,C
D58,155,5,114,0,P358,C,P646,D
D248,153,6,113,0,P65,C,P274,D
D389,153,19,140,0,P130,B,P489,D
D5,152,24,125,0,P267,A,P458,C
D117,151,0,121,0,P547,D,P589,C
D448,151,11,116,0,P85,D,P226,C
D286,151,5,118,0,P155,A,P659,D
D372,150,12,124,0,P51,B,P338,A
D23,150,15,118,0,P37,A,P220,C
D414,149,24,133,0,P119,C,P328,A
D410,148,8,119,0,P18,B,P98,A
D434,148,20,131,0,P297,B,P5,D
D181,148,0,110,0,P259,B,P534,D
D168,147,8,128,0,P429,C,P498,D
D340,147,23,132,0,P238,B,P429,C
D179,146,20,124,0,P349,C,P295,A
D133,145,8,119,0,P596,D,P581,D
D239,144,15,126,0,P156,D,P171,A
D48,142,16,135,0,P640,C,P363,D
D312,142,24,133,0,P433,B,P525,C
D375,142,20,123,0,P424,B,P477,D
D137,142,11,124,0,P592,B,P670,C
D336,141,17,132,0,P551,D,P234,C
D111,141,0,115,0,P526,B,P50,A
D317,140,2,120,0,P40,C,P617,D
D230,139,16,119,0,P445,B,P520,D
D19,139,17,133,0,P148,D,P124,C
D331,139,24,138,0,P125,C,P636,C
D406,139,23,123,0,P167,B,P296,C
D268,138,18,124,0,P544,B,P387,A
D329,136,14,113,0,P299,C,P90,D
D25,136,22,140,0,P364,A,P364,A
D358,135,5,112,0,P71,A,P71,A
D411,134,24,143,0,P602,B,P599,C
D365,133,5,107,0,P57,D,P316,D
D123,132,0,115,0,P281,C,P311,C
D132,131,11,127,0,P214,D,P349,C
D109,131,10,117,0,P383,C,P86,C
D425,130,7,114,0,P366,A,P369,C
D403,130,23,128,0,P541,B,P201,A
D24,130,5,107,0,P248,B,P292,A
D370,130,20,139,0,P421,B,P504,D
D442,129,16,132,0,P426,A,P426,A
D256,128,5,110,0,P15,C,P208,D
D80,128,1,118,0,P151,D,P336,D
D151,127,11,109,0,P341,B,P569,D
D243,125,20,130,0,P66,A,P355,D
D173,125,16,128,0,P637,D,P48,D
D335,125,17,126,0,P396,C,P189,C
D276,124,4,120,0,P437,C,P196,A
D51,124,13,131,0,P355,D,P533,C
D208,124,7,110,0,P357,A,P357,A
D94,123,10,112,0,P129,C,P155,A
D394,122,7,128,0,P100,A,P100,A
D200,121,15,136,0,P564,C,P39,A
D187,120,7,109,0,P615,A,P242,C
D176,117,20,117,0,P391,C,P74,A
D364,116,19,116,0,P539,B,P101,D
D333,115,21,138,0,P496,C,P92,D
D272,115,20,133,0,P534,D,P517,D
D356,115,18,123,0,P585,A,P511,D
D122,114,10,128,0,P180,A,P463,D
D322,114,5,119,0,P274,D,P518,C
D395,114,20,121,0,P188,C,P160,A
D386,113,21,130,0,P491,B,P61,A
D126,113,13,126,0,P624,B,P169,A
D258,111,9,117,0,P286,C,P470,D
D12,110,4,102,0,P268,D,P441,D
D271,110,2,102,0,P249,D,P414,A
D77,110,2,108,0,P50,A,P199,C
D2,110,21,129,0,P655,B,P464,D
D219,109,18,116,0,P159,A,P159,A
D376,108,23,131,0,P312,D,P530,D
D32,106,24,132,0,P207,D,P588,D
D15,105,10,122,0,P84,B,P493,D
D441,104,16,115,0,P523,D,P102,C
D188,103,12,131,0,P121,A,P487,D
D37,102,0,97,0,P219,B,P619,D
D262,101,18,127,0,P629,D,P314,C
D345,101,6,121,0,P432,D,P105,A
D228,100,13,127,0,P368,B,P41,D
D270,100,20,126,0,P305,A,P305,A
D108,100,6,105,0,P654,A,P642,C
D1,99,17,123,0,P306,A,P140,D
D250,98,9,123,0,P452,C,P79,A
D412,97,5,111,0,P672,A,P472,D
D241,97,19,125,0,P183,C,P486,D
D369,96,24,144,0,P458,C,P6,B
D348,96,3,120,0,P206,C,P46,C
D274,95,1,103,0,P82,D,P407,D
D446,95,23,132,0,P485,C,P561,C
D311,94,21,139,0,P3,B,P175,A
D305,94,18,129,0,P506,B,P450,C
D447,92,22,125,0,P553,A,P416,D
D210,92,0,112,0,P572,C,P174,C
D112,91,24,135,0,P542,C,P148,D
D418,91,3,120,0,P107,B,P515,C
D68,90,7,116,0,P285,D,P456,D
D29,90,2,116,0,P126,D,P522,D
D387,89,2,99,0,P414,A,P133,D
D265,87,8,121,0,P225,C,P335,A
D235,86,12,111,0,P384,D,P21,D
D313,86,2,103,0,P158,B,P206,C
D350,86,17,125,0,P198,A,P198,A
D91,86,19,124,0,P68,C,P256,A
D59,86,13,123,0,P59,C,P322,A
D146,85,3,118,0,P546,A,P546,A
D3,83,9,115,0,P409,A,P406,D
D222,81,17,114,0,P269,A,P577,C
D254,81,21,122,0,P399,A,P399,A
D422,78,1,121,0,P4,C,P412,C
D67,78,9,111,0,P344,D,P272,D
D325,77,2,119,0,P447,C,P401,A
D443,77,20,131,0,P451,A,P451,A
D264,76,17,124,0,P215,B,P403,D
D73,75,19,133,0,P263,C,P484,D
D404,75,2,104,0,P435,A,P435,A
D269,74,23,130,0,P261,A,P224,C
D355,74,18,139,0,P282,A,P282,A
D149,73,4,116,0,P176,C,P85,D
D192,72,0,106,0,P406,D,P240,A
D148,72,0,111,0,P657,B,P95,C
D150,72,15,122,0,P513,A,P513,A
D334,71,12,116,0,P387,A,P501,D
D105,70,12,133,0,P44,A,P44,A
D223,69,16,131,0,P555,C,P582,C
D120,69,8,108,0,P494,A,P362,C
D260,68,20,138,0,P377,C,P579,C
D214,66,5,120,0,P227,B,P596,D
D212,65,5,104,0,P352,B,P205,C
D14,65,7,125,0,P643,D,P106,C
D196,65,9,120,0,P76,C,P644,D
D344,64,18,134,0,P423,B,P521,C
D144,63,14,124,0,P649,A,P649,A
D402,62,2,101,0,P332,C,P340,C
D204,62,10,128,0,P538,A,P669,C
D373,61,16,124,0,P448,D,P190,A
D45,61,5,125,0,P517,D,P320,C
D245,60,8,108,0,P367,C,P549,D
D62,59,3,121,0,P607,B,P36,C
D419,59,7,105,0,P362,C,P66,A
D363,59,15,121,0,P510,A,P449,D
D342,59,24,136,0,P501,D,P268,D
D401,59,8,107,0,P322,A,P173,C
D371,57,19,138,0,P284,A,P170,C
D449,56,4,112,0,P613,A,P40,C
D60,56,4,113,0,P528,A,P483,C
D349,56,2,105,0,P94,C,P161,D
D8,55,4,107,0,P350,A,P350,A
D199,55,10,124,0,P511,D,P25,D
D233,53,5,117,0,P53,D,P264,D
D294,52,23,140,0,P287,C,P586,C
D251,51,13,123,0,P187,A,P209,C
D232,51,5,115,0,P109,B,P383,C
D61,50,0,109,0,P507,A,P653,D
D145,50,13,127,0,P61,A,P402,C
D88,50,7,122,0,P293,B,P176,C
D136,49,14,133,0,P418,B,P505,D
D70,48,3,118,0,P21,D,P377,C
D127,47,22,141,0,P372,C,P164,A
D217,47,5,103,0,P479,C,P245,C
D257,46,18,115,0,P28,A,P358,C
D296,46,8,115,0,P533,C,P43,D
D354,44,3,122,0,P211,B,P134,D
D43,43,15,121,0,P626,D,P108,C
D102,42,14,132,0,P656,B,P618,C
D174,41,17,115,0,P325,D,P641,D
D381,41,11,116,0,P407,D,P384,D
D190,40,14,129,0,P328,A,P138,D
D221,40,19,117,0,P351,B,P180,A
D385,39,21,133,0,P402,C,P94,C
D310,39,18,134,0,P157,B,P286,C
D169,36,1,115,0,P495,B,P329,A
D247,35,17,133,0,P260,D,P415,A
D71,35,0,102,0,P581,D,P255,C
D409,34,17,130,0,P95,C,P281,C
D237,34,1,107,0,P617,D,P24,C
D64,34,2,118,0,P556,B,P376,C
D76,34,6,124,0,P46,C,P82,D
D95,32,10,120,0,P577,C,P452,C
D129,32,2,121,0,P584,B,P573,D
D13,31,17,115,0,P430,A,P119,C
D21,30,4,109,0,P463,D,P381,A
D303,30,8,114,0,P279,D,P1,C
D10,29,13,127,0,P588,D,P110,C
D142,29,17,127,0,P58,A,P58,A
D314,28,18,132,0,P250,C,P127,D
D130,27,17,126,0,P540,B,P537,C
D40,27,20,141,0,P29,B,P151,D
D175,26,12,118,0,P296,C,P523,D
D50,26,7,114,0,P266,B,P278,A
D90,25,16,119,0,P30,A,P344,D
D295,25,9,112,0,P199,C,P284,A
D252,25,5,112,0,P371,D,P471,D
D106,24,2,110,0,P79,A,P165,D
D278,23,22,122,0,P331,B,P15,C
D178,23,5,107,0,P217,D,P225,C
D53,22,13,128,0,P160,A,P500,C
D166,22,6,117,0,P518,C,P547,D
D46,21,22,134,0,P595,A,P65,C
D4,21,13,125,0,P88,B,P249,D
D445,19,13,110,0,P527,A,P527,A
D213,18,6,123,0,P316,D,P45,C
D226,18,0,118,0,P25,D,P542,C
D309,18,12,131,0,P186,A,P262,C
D261,17,21,139,0,P568,C,P334,A
D405,15,2,108,0,P670,C,P611,D
D242,14,22,127,0,P319,A,P551,D
D185,14,12,120,0,P465,D,P485,C
D114,14,18,127,0,P141,C,P122,D
D172,13,17,131,0,P123,B,P346,A
D292,12,19,125,0,P438,B,P348,A
D155,12,19,119,0,P55,C,P172,C
D195,11,7,115,0,P243,D,P366,A
D267,10,24,143,0,P32,B,P375,A
D289,8,0,102,0,P309,B,P380,A
D307,7,6,107,0,P386,A,P228,D
D92,6,8,116,0,P482,A,P181,D
D139,6,13,117,0,P444,B,P379,D
D297,5,21,140,0,P258,C,P389,A
D180,4,15,120,0,P52,C,P394,A
D205,3,9,111,0,P170,C,P395,A
D429,3,24,131,0,P74,A,P232,C
D63,2,2,117,0,P370,D,P404,A
D198,2,5,112,0,P673,C,P111,D
D281,1,21,138,0,P93,B,P432,D
D366,1,14,126,0,P208,D,P417,C
D374,1,18,116,0,P6,B,P361,D
D353,0,0,121,0,P456,D,P620,C
