diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D212,19,5,125,0,P354,B,P251,A
D232,18,8,125,0,P228,D,P50,D
D152,17,14,130,0,P188,A,P57,C
D231,17,18,121,0,P318,B,P207,D
D207,17,14,126,0,P82,C,P395,D
D285,17,8,128,0,P319,D,P9,C
D228,16,13,113,0,P479,C,P233,C
D149,16,22,120,0,P76,D,P166,D
D246,16,3,118,0,P497,C,P427,C
D309,14,10,124,0,P418,B,P342,D
D233,13,7,124,0,P232,A,P397,D
D261,12,4,114,0,P298,D,P440,C
D58,11,19,117,0,P350,A,P204,C
D255,11,20,125,0,P415,A,P415,A
D317,11,2,101,0,P473,B,P487,D
D16,10,15,118,0,P480,C,P192,C
D237,10,11,108,0,P87,C,P407,C
D250,10,12,127,0,P364,B,P480,C
D283,9,3,100,0,P68,B,P310,C
D62,8,15,118,0,P389,D,P37,C
D100,5,0,107,0,P303,A,P41,C
D127,5,24,122,0,P448,B,P8,C
D304,4,7,116,0,P60,C,P368,A
D105,1,21,138,0,P150,A,P169,D
D268,1,18,129,0,P457,B,P381,A
